5-B-10(n,total) ENDF/B-VII.1
1.0E-5,193448.0
1.30374E-5,169422.0
1.71104E-5,147888.0
2.22778E-5,129607.0
2.92376E-5,113134.0
3.80674E-5,99148.8
4.996E-5,86547.2
6.50481E-5,75848.5
8.53698E-5,66208.3
1.11152E-4,58023.9
1.45877E-4,50649.1
1.89932E-4,44388.1
2.49268E-4,38746.5
3.24548E-4,33956.8
4.2594E-4,29641.0
5.54575E-4,25976.9
7.2783E-4,22675.4
9.47636E-4,19872.4
0.00124369,17346.7
0.00161928,15202.5
0.00212517,13270.3
0.00276697,11630.0
0.0036314,10151.9
0.00472809,8897.11
0.0062052,7766.39
0.00807918,6806.43
0.0106032,5941.48
0.0138054,5207.08
0.0181183,4545.39
0.0244451,3913.49
0.0253,3846.84
0.033204,3358.3
0.0432317,2943.52
0.0567377,2569.72
0.0738726,2252.44
0.0969512,1966.34
0.126231,1723.42
0.165666,1504.92
0.215698,1319.08
0.283085,1151.66
0.368577,1009.35
0.483724,881.236
0.629809,772.445
0.826569,674.31
1.07619,591.201
1.41241,516.504
1.83896,452.922
2.41347,395.739
3.14234,347.113
4.12404,303.175
5.36951,265.91
7.04701,232.281
9.17522,203.749
12.0417,178.238
16.7019,151.82
23.1695,129.326
30.7849,112.46
42.5872,95.9041
58.5081,82.1241
78.5163,71.031
105.4,61.5216
143.731,52.7949
196.335,45.4622
260.739,39.6451
361.348,33.9524
497.494,29.1947
686.821,25.1374
950.0,21.6255
1320.6,18.6382
1787.94,16.2774
2496.14,14.0662
3500.0,12.1672
4981.2,10.528
6868.21,9.26848
9500.0,8.19211
14095.8,7.14346
20000.0,6.37673
30000.0,5.70303
48000.0,5.17254
75000.0,4.90298
100000.0,4.85825
230000.0,5.08164
470000.0,4.55301
675000.0,3.47193
830000.0,2.93669
1000000.0,2.53726
1325000.0,2.07575
1500000.0,1.96873
1550000.0,1.97184
1690000.0,2.20068
1770000.0,2.32291
1780000.0,2.32642
1950000.0,2.12861
2165000.0,1.90543
2200000.0,1.89303
2460000.0,2.05918
2640000.0,2.39499
2780000.0,2.51695
2860000.0,2.41529
3180000.0,1.92052
3300000.0,1.79305
3350000.0,1.78914
3400000.0,1.80656
3625000.0,1.64775
3750000.0,1.62332
3899230.0,1.70145
4100000.0,1.84008
4300000.0,1.88725
4850000.0,1.58471
5300000.0,1.4558
5400000.0,1.44719
6400000.0,1.58153
6500000.0,1.56352
6600000.0,1.57212
6631940.0,1.56934
6800000.0,1.6046
9000000.0,1.4751
9600000.0,1.46949
1.11E7,1.4878
1.12E7,1.48764
1.14E7,1.48786
2.0E7,1.4271
